id;name;description;intensity_level;affected_location;steps;items_used
1;Cambridgeshire bluetooth invoice;Cape Verde Escudo;MEDIUM;TORSO;payment engineer;Sleek Metal Sausages
2;Nakfa Bahamas;Group Money Market Account;LOW;ELBOW;synthesize hacking;deploy Credit Card Account Analyst
3;Brook Solutions;reinvent;LOW;TORSO;channels Keys bleeding-edge;Branding
4;SDR digital Wisconsin;Buckinghamshire Wells;HIGH;TORSO;definition;lime deposit Facilitator
5;Health compressing world-class;Avon;MEDIUM;HAND;applications payment;cyan
6;Shoes;dynamic synthesizing;MEDIUM;NECK;Fiji Dollar Sharable;extend
7;back-end Granite COM;Borders AI;LOW;NECK;forecast;Optimization Personal Loan Account Borders
8;Tasty Soft Shoes Developer;Rustic violet;MEDIUM;ELBOW;Global Central Checking Account;THX Designer
9;Antarctica (the territory South of 60 deg S);Credit Card Account Checking Account New Jersey;MEDIUM;NECK;mint green;Architect portals
10;deposit;cyan;LOW;SHOULDER;Toys mint green Programmable;Lead
